Group,d15N,d13C
1,9.35,-23.66
1,8.75,-22.94
1,9.04,-22.49
1,8.68,-23.17
1,9.61,-24.04
1,9.16,-23.76
1,8.86,-23.19
1,9.33,-24.15
1,7.87,-24.18
1,8.26,-23.55
1,8.91,-22.88
1,9.02,-23.26
1,9.20,-23.74
1,9.02,-23.92
1,9.89,-23.93
1,10.29,-23.83
1,10.33,-23.69
1,9.91,-24.10
1,8.94,-23.50
2,9.78,-23.80
2,9.08,-23.03
2,8.47,-23.33
2,8.80,-23.52
2,9.64,-23.85
2,8.91,-23.73
2,8.59,-23.50
2,9.10,-24.07
2,9.61,-23.63
2,9.36,-23.91
2,9.85,-23.39
2,8.73,-23.40
2,10.58,-24.19
2,10.01,-23.60
